manufacturer,total_vehicles,fault_count,fault_rate,avg_severity,avg_fault_mileage
MANUF_06,74,195360,2640.0,2.5,83144.0
MANUF_01,112,198086,1768.63,2.52,86825.0
MANUF_07,54,94824,1756.0,2.5,67842.0
MANUF_14,53,89517,1689.0,2.51,50757.0
MANUF_05,57,95703,1679.0,2.49,78958.0
MANUF_04,50,81650,1633.0,2.54,67324.0
MANUF_13,46,71944,1564.0,2.49,98405.0
MANUF_03,99,152509,1540.49,2.52,56533.0
MANUF_08,49,73696,1504.0,2.53,70525.0
MANUF_11,47,70547,1501.0,2.54,93018.0
MANUF_02,100,146845,1468.45,2.5,76561.0
MANUF_09,47,66881,1423.0,2.5,70300.0
MANUF_15,43,59211,1377.0,2.51,99915.0
MANUF_10,43,56545,1315.0,2.49,57307.0
MANUF_12,37,42957,1161.0,2.54,96963.0
MANUF_16,25,17925,717.0,2.53,52381.0
