subject,predicate,object,occurrence,avg_confidence
ABS系统故障,由...引起,ABS控制单元故障,1,0.85
ABS系统故障,由...引起,ABS泵故障,1,0.85
ABS系统故障,由...引起,线路接触不良,1,0.85
ABS系统故障,由...引起,轮速传感器故障,1,0.85
CAN通讯故障,由...引起,CAN总线短路,1,0.85
CAN通讯故障,由...引起,控制单元故障,1,0.85
CAN通讯故障,由...引起,电磁干扰,1,0.85
CAN通讯故障,由...引起,线束接触不良,1,0.85
DPF堵塞,由...引起,DPF载体损坏,1,0.85
DPF堵塞,由...引起,再生系统故障,1,0.85
DPF堵塞,由...引起,燃油品质差,1,0.85
DPF堵塞,由...引起,长期低速行驶,1,0.85
EGR阀故障,由...引起,EGR冷却器堵塞,1,0.85
EGR阀故障,由...引起,EGR阀位置传感器故障,1,0.85
EGR阀故障,由...引起,EGR阀电磁阀故障,1,0.85
