mileage_group,fault_system,fault_count,avg_temp,avg_pressure
1-3万,动力系统,7267,92.0,243.9
1-3万,电气系统,3261,80.1,294.2
1-3万,传动系统,2629,93.1,289.9
1-3万,制动系统,2522,86.7,238.5
1-3万,排放系统,2036,93.7,291.8
1-3万,空调系统,1450,93.9,291.1
1-3万,悬挂系统,754,93.7,287.5
1-3万,行驶系统,702,91.5,294.7
1-3万,转向系统,700,93.1,289.6
1-3万,车身系统,660,90.9,298.1
1-3万,复合故障,608,114.7,106.7
1-3万,安全系统,568,92.3,292.0
10-20万,动力系统,179410,92.7,243.3
10-20万,电气系统,82521,80.6,293.2
10-20万,传动系统,65528,93.3,288.0
10-20万,制动系统,65219,88.1,243.2
10-20万,排放系统,49291,93.8,290.1
10-20万,空调系统,33767,93.8,291.5
10-20万,悬挂系统,16871,92.6,290.4
10-20万,行驶系统,16802,92.0,293.4
10-20万,转向系统,16289,93.5,290.9
10-20万,复合故障,16060,114.7,112.3
10-20万,安全系统,15553,93.1,292.3
10-20万,车身系统,15196,91.2,299.4
20万+,动力系统,208631,93.4,240.5
20万+,电气系统,96118,79.3,293.1
20万+,制动系统,77487,88.4,240.2
20万+,传动系统,76898,93.2,290.5
20万+,排放系统,56063,93.5,290.4
20万+,空调系统,37990,93.1,294.0
20万+,悬挂系统,19932,92.8,294.6
20万+,复合故障,19242,116.4,99.6
20万+,车身系统,19114,91.2,303.2
20万+,转向系统,19028,94.5,295.2
20万+,安全系统,18534,93.2,294.5
20万+,行驶系统,18478,91.7,292.1
3-5万,动力系统,14225,92.2,242.6
3-5万,电气系统,6574,81.0,295.5
3-5万,制动系统,5248,88.5,246.1
3-5万,传动系统,5013,93.6,287.4
3-5万,排放系统,3911,93.7,292.9
3-5万,空调系统,2737,94.3,293.3
3-5万,悬挂系统,1422,92.0,293.4
3-5万,行驶系统,1333,91.8,290.4
3-5万,转向系统,1291,93.1,290.8
3-5万,车身系统,1188,91.9,298.3
3-5万,复合故障,1122,114.3,116.8
3-5万,安全系统,1097,92.7,289.5
5-10万,动力系统,64802,92.4,243.3
5-10万,电气系统,29579,80.4,293.5
5-10万,传动系统,23444,93.2,288.9
5-10万,制动系统,23050,88.0,242.1
5-10万,排放系统,17833,93.9,290.9
5-10万,空调系统,12222,93.7,292.2
5-10万,行驶系统,6127,92.2,294.4
5-10万,悬挂系统,6075,92.9,288.5
5-10万,转向系统,5986,93.3,290.1
5-10万,复合故障,5842,115.1,108.5
5-10万,车身系统,5613,91.5,299.2
5-10万,安全系统,5287,93.2,293.0
