fault_code,avg_entities,record_count
F31,4.947494033412887,838
F03,4.720873786407767,824
F47,4.519230769230769,832
F40,4.178612059158135,879
F35,4.0,862
F34,4.0,858
F15,4.0,845
F07,4.0,866
F08,3.8027465667915106,801
F20,3.7738814993954053,827
F23,3.7550535077288942,841
F05,3.755050505050505,792
F45,3.754278728606357,818
F10,3.7423167848699763,846
F42,3.7285714285714286,840
F11,3.7184115523465704,831
F01,3.718137254901961,816
F41,3.670630202140309,841
F24,3.512514898688915,839
F37,3.511918274687855,881
F32,3.5023584905660377,848
F43,3.4502369668246446,844
F48,3.2494117647058824,850
F29,3.2316043425814236,829
F36,3.0128205128205128,858
F50,3.0,808
F49,3.0,790
F46,3.0,889
F17,3.0,843
F06,3.0,829
F44,2.9817767653758542,878
F33,2.969248291571754,878
F02,2.9675870348139255,833
F39,2.7523364485981308,856
F38,2.7478684531059683,821
