season,fault_system,fault_count,avg_risk_score
冬,动力系统,119360,0.227
冬,电气系统,67042,0.25
冬,制动系统,46945,0.234
冬,传动系统,43285,0.25
冬,排放系统,35005,0.23
冬,车身系统,14163,0.2
冬,悬挂系统,13487,0.25
冬,转向系统,13282,0.25
冬,行驶系统,10901,0.25
冬,安全系统,10428,0.25
冬,空调系统,7554,0.2
冬,复合故障,2607,0.15
夏,动力系统,144465,0.229
夏,空调系统,52196,0.2
夏,传动系统,46389,0.25
夏,电气系统,45073,0.25
夏,制动系统,40986,0.24
夏,复合故障,31482,0.15
夏,排放系统,31479,0.235
夏,行驶系统,11088,0.25
夏,转向系统,10641,0.25
夏,安全系统,10544,0.25
夏,悬挂系统,8975,0.25
夏,车身系统,8596,0.2
春,动力系统,99945,0.238
春,电气系统,50112,0.25
春,传动系统,38718,0.25
春,制动系统,36652,0.238
春,排放系统,28953,0.235
春,空调系统,16592,0.2
春,悬挂系统,10785,0.25
春,行驶系统,9831,0.25
春,转向系统,8890,0.25
春,安全系统,8794,0.25
春,车身系统,7795,0.2
春,复合故障,5150,0.15
秋,动力系统,110565,0.239
秋,电气系统,55826,0.25
秋,制动系统,48943,0.238
秋,传动系统,45120,0.25
秋,排放系统,33697,0.233
秋,空调系统,11824,0.2
秋,悬挂系统,11807,0.25
秋,行驶系统,11622,0.25
秋,安全系统,11273,0.25
秋,车身系统,11217,0.2
秋,转向系统,10481,0.25
秋,复合故障,3635,0.15
